jurisdiction,year,ipcc_code,Product,tax,ets,tax_id,tax_rate_excl_ex_clcu,tax_ex_rate,tax_rate_incl_ex_clcu,tax_curr_code,ets_id,ets_price,ets_curr_code,recorded_date,recorded_year,country_name,country_code,exchange_rate,ets_price_usd
"Korea, Rep.",2019,1A1A1,Coal,0,1,,,,,nan,kor_ets,29821.54,KRW,12/31/19,2019,Korea,KRW,1153.7,25.848608823784346
"Korea, Rep.",2020,1A1A1,Coal,0,1,,,,,nan,kor_ets,30163.91,KRW,12/31/20,2020,Korea,KRW,1087.66,27.732848500450505
"Korea, Rep.",2021,1A1A1,Coal,0,1,,,,,nan,kor_ets,23003.83,KRW,12/31/21,2021,Korea,KRW,1188.92,19.348509571712142
Latvia,2005,1A1A1,Coal,1,1,lva_tax,,0.0,,nan,eu_ets,21.56,EUR,12/31/05,2005,Euro Zone,EUR,0.847,25.454545454545453
Latvia,2006,1A1A1,Coal,1,1,lva_tax,0.14,0.0,0.14,EUR,eu_ets,18.01,EUR,12/31/06,2006,Euro Zone,EUR,0.759,23.728590250329383
Latvia,2007,1A1A1,Coal,1,1,lva_tax,0.14,0.0,0.14,EUR,eu_ets,0.72,EUR,12/31/07,2007,Euro Zone,EUR,0.68,1.0588235294117645
Latvia,2008,1A1A1,Coal,1,1,lva_tax,0.28,0.0,0.28,EUR,eu_ets,17.38,EUR,12/31/08,2008,Euro Zone,EUR,0.731,23.77564979480164
Latvia,2009,1A1A1,Coal,1,1,lva_tax,0.42,0.0,0.42,EUR,eu_ets,13.15,EUR,12/31/09,2009,Euro Zone,EUR,0.695,18.92086330935252
Latvia,2010,1A1A1,Coal,1,1,lva_tax,0.64,0.0,0.64,EUR,eu_ets,14.34,EUR,12/31/10,2010,Euro Zone,EUR,0.77,18.623376623376622
Latvia,2011,1A1A1,Coal,1,1,lva_tax,1.1,0.0,1.1,EUR,eu_ets,12.94,EUR,12/31/11,2011,Euro Zone,EUR,0.765,16.915032679738562
Latvia,2012,1A1A1,Coal,1,1,lva_tax,1.89,0.0,1.89,EUR,eu_ets,7.38,EUR,12/31/12,2012,Euro Zone,EUR,0.759,9.723320158102766
Latvia,2013,1A1A1,Coal,1,1,lva_tax,2.85,0.0,2.85,EUR,eu_ets,4.47,EUR,12/31/13,2013,Euro Zone,EUR,0.726,6.1570247933884295
Latvia,2014,1A1A1,Coal,1,1,lva_tax,2.85,0.0,2.85,EUR,eu_ets,5.95,EUR,12/31/14,2014,Euro Zone,EUR,0.822,7.238442822384429
Latvia,2015,1A1A1,Coal,1,1,lva_tax,2.85,0.0,2.85,EUR,eu_ets,7.68,EUR,12/31/15,2015,EURO ZONE,EUR,0.919,8.356909684439607
Latvia,2016,1A1A1,Coal,1,1,lva_tax,3.5,0.0,3.5,EUR,eu_ets,5.35,EUR,12/31/16,2016,EURO ZONE,EUR,0.949,5.637513171759747
Latvia,2017,1A1A1,Coal,1,1,lva_tax,4.5,0.0,4.5,EUR,eu_ets,5.83,EUR,12/31/17,2017,EURO ZONE,EUR,0.833,6.998799519807924
Latvia,2018,1A1A1,Coal,1,1,lva_tax,4.5,0.0,4.5,EUR,eu_ets,15.82,EUR,12/31/18,2018,EURO ZONE,EUR,0.872,18.142201834862387
Latvia,2019,1A1A1,Coal,1,1,lva_tax,4.5,0.0,4.5,EUR,eu_ets,24.84,EUR,12/31/19,2019,Euro Zone,EUR,0.89,27.91011235955056
Latvia,2020,1A1A1,Coal,1,1,lva_tax,9.0,0.0,9.0,EUR,eu_ets,24.76,EUR,12/31/20,2020,Euro Zone,EUR,0.815,30.38036809815951
Latvia,2021,1A1A1,Coal,1,1,lva_tax,12.0,0.0,12.0,EUR,eu_ets,53.54,EUR,12/31/21,2021,Euro Zone,EUR,0.882,60.702947845804985
Latvia,2022,1A1A1,Coal,0,1,,,,,nan,eu_ets,80.82,EUR,12/31/22,2022,Euro Zone,EUR,0.936,86.34615384615384
Liechtenstein,2009,1A1A1,Coal,0,1,,,,,nan,eu_ets,13.15,EUR,12/31/09,2009,Euro Zone,EUR,0.695,18.92086330935252
Liechtenstein,2010,1A1A1,Coal,0,1,,,,,nan,eu_ets,14.34,EUR,12/31/10,2010,Euro Zone,EUR,0.77,18.623376623376622
Liechtenstein,2011,1A1A1,Coal,0,1,,,,,nan,eu_ets,12.94,EUR,12/31/11,2011,Euro Zone,EUR,0.765,16.915032679738562
Liechtenstein,2012,1A1A1,Coal,0,1,,,,,nan,eu_ets,7.38,EUR,12/31/12,2012,Euro Zone,EUR,0.759,9.723320158102766
Liechtenstein,2013,1A1A1,Coal,0,1,,,,,nan,eu_ets,4.47,EUR,12/31/13,2013,Euro Zone,EUR,0.726,6.1570247933884295
Liechtenstein,2014,1A1A1,Coal,0,1,,,,,nan,eu_ets,5.95,EUR,12/31/14,2014,Euro Zone,EUR,0.822,7.238442822384429
Liechtenstein,2015,1A1A1,Coal,0,1,,,,,nan,eu_ets,7.68,EUR,12/31/15,2015,EURO ZONE,EUR,0.919,8.356909684439607
Liechtenstein,2016,1A1A1,Coal,0,1,,,,,nan,eu_ets,5.35,EUR,12/31/16,2016,EURO ZONE,EUR,0.949,5.637513171759747
Liechtenstein,2017,1A1A1,Coal,0,1,,,,,nan,eu_ets,5.83,EUR,12/31/17,2017,EURO ZONE,EUR,0.833,6.998799519807924
Liechtenstein,2018,1A1A1,Coal,0,1,,,,,nan,eu_ets,15.82,EUR,12/31/18,2018,EURO ZONE,EUR,0.872,18.142201834862387
Liechtenstein,2019,1A1A1,Coal,0,1,,,,,nan,eu_ets,24.84,EUR,12/31/19,2019,Euro Zone,EUR,0.89,27.91011235955056
Liechtenstein,2020,1A1A1,Coal,0,1,,,,,nan,eu_ets,24.76,EUR,12/31/20,2020,Euro Zone,EUR,0.815,30.38036809815951
Liechtenstein,2021,1A1A1,Coal,0,1,,,,,nan,eu_ets,53.54,EUR,12/31/21,2021,Euro Zone,EUR,0.882,60.702947845804985
Liechtenstein,2022,1A1A1,Coal,0,1,,,,,nan,eu_ets,80.82,EUR,12/31/22,2022,Euro Zone,EUR,0.936,86.34615384615384
Lithuania,2005,1A1A1,Coal,0,1,,,,,nan,eu_ets,21.56,EUR,12/31/05,2005,Euro Zone,EUR,0.847,25.454545454545453
Lithuania,2006,1A1A1,Coal,0,1,,,,,nan,eu_ets,18.01,EUR,12/31/06,2006,Euro Zone,EUR,0.759,23.728590250329383
Lithuania,2007,1A1A1,Coal,0,1,,,,,nan,eu_ets,0.72,EUR,12/31/07,2007,Euro Zone,EUR,0.68,1.0588235294117645
Lithuania,2008,1A1A1,Coal,0,1,,,,,nan,eu_ets,17.38,EUR,12/31/08,2008,Euro Zone,EUR,0.731,23.77564979480164
Lithuania,2009,1A1A1,Coal,0,1,,,,,nan,eu_ets,13.15,EUR,12/31/09,2009,Euro Zone,EUR,0.695,18.92086330935252
Lithuania,2010,1A1A1,Coal,0,1,,,,,nan,eu_ets,14.34,EUR,12/31/10,2010,Euro Zone,EUR,0.77,18.623376623376622
Lithuania,2011,1A1A1,Coal,0,1,,,,,nan,eu_ets,12.94,EUR,12/31/11,2011,Euro Zone,EUR,0.765,16.915032679738562
Lithuania,2012,1A1A1,Coal,0,1,,,,,nan,eu_ets,7.38,EUR,12/31/12,2012,Euro Zone,EUR,0.759,9.723320158102766
Lithuania,2013,1A1A1,Coal,0,1,,,,,nan,eu_ets,4.47,EUR,12/31/13,2013,Euro Zone,EUR,0.726,6.1570247933884295
Lithuania,2014,1A1A1,Coal,0,1,,,,,nan,eu_ets,5.95,EUR,12/31/14,2014,Euro Zone,EUR,0.822,7.238442822384429
Lithuania,2015,1A1A1,Coal,0,1,,,,,nan,eu_ets,7.68,EUR,12/31/15,2015,EURO ZONE,EUR,0.919,8.356909684439607
Lithuania,2016,1A1A1,Coal,0,1,,,,,nan,eu_ets,5.35,EUR,12/31/16,2016,EURO ZONE,EUR,0.949,5.637513171759747
Lithuania,2017,1A1A1,Coal,0,1,,,,,nan,eu_ets,5.83,EUR,12/31/17,2017,EURO ZONE,EUR,0.833,6.998799519807924
Lithuania,2018,1A1A1,Coal,0,1,,,,,nan,eu_ets,15.82,EUR,12/31/18,2018,EURO ZONE,EUR,0.872,18.142201834862387
Lithuania,2019,1A1A1,Coal,0,1,,,,,nan,eu_ets,24.84,EUR,12/31/19,2019,Euro Zone,EUR,0.89,27.91011235955056
